City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Upernavik,GL,2022-02-01 18:21:59,72.7868,-56.1549,-16.49,76,100,6.29
68,Hermanus,ZA,2022-02-01 18:18:25,-34.4187,19.2345,71.91,84,3,2.57
69,Maceio,BR,2022-02-01 18:22:00,-9.6658,-35.7353,90.84,51,20,14.97
70,Saint George,US,2022-02-01 18:22:00,37.1041,-113.5841,50.47,28,0,1.01
71,Chino Valley,US,2022-02-01 18:22:00,34.7575,-112.4538,52.83,30,40,1.01
72,Sokoni,TZ,2022-02-01 18:22:01,-6.4333,39.55,81.23,78,3,11.1
73,Yagodnoye,RU,2022-02-01 18:22:01,62.55,149.6667,-4.92,99,100,2.35
74,Severo-Kurilsk,RU,2022-02-01 18:22:01,50.6789,156.125,25.93,78,64,7.78
75,Moindou,NC,2022-02-01 18:22:02,-21.6924,165.677,73.35,86,51,5.48
76,San Ramon,US,2022-02-01 18:22:02,37.7799,-121.978,54.64,37,0,3.0
77,Kapaa,US,2022-02-01 18:22:03,22.0752,-159.319,65.48,100,40,5.75
78,San Quintin,MX,2022-02-01 18:22:03,30.4833,-115.95,59.63,69,82,6.22
79,Khani,GE,2022-02-01 18:22:03,41.9563,42.9566,36.97,80,78,8.25
80,Arraial Do Cabo,BR,2022-02-01 18:22:04,-22.9661,-42.0278,84.16,74,75,10.36
81,Jamestown,US,2022-02-01 18:22:04,42.097,-79.2353,40.3,51,0,19.57
82,Kavieng,PG,2022-02-01 18:22:05,-2.5744,150.7967,78.94,81,100,7.45
83,Hithadhoo,MV,2022-02-01 18:22:05,-0.6,73.0833,82.72,72,12,12.66
84,Ancud,CL,2022-02-01 18:22:05,-41.8697,-73.8203,67.23,77,93,8.95
85,Salinopolis,BR,2022-02-01 18:22:06,-0.6136,-47.3561,83.07,75,84,11.39
86,Palatka,US,2022-02-01 18:22:06,29.6486,-81.6376,73.02,43,42,5.64
87,Inirida,CO,2022-02-01 18:22:06,3.8653,-67.9239,99.07,28,44,2.44
88,Victoria,HK,2022-02-01 18:19:33,22.2855,114.1577,61.25,88,99,5.01
89,Te Anau,NZ,2022-02-01 18:22:07,-45.4167,167.7167,63.14,98,100,2.68
90,Codrington,AU,2022-02-01 18:19:47,-38.2667,141.9667,55.96,55,65,13.69
91,Lompoc,US,2022-02-01 18:23:07,34.6391,-120.4579,61.84,53,0,13.8
92,Hamilton,US,2022-02-01 18:18:44,39.1834,-84.5333,55.24,47,100,8.88
93,Awassa,ET,2022-02-01 18:23:08,7.05,38.4667,66.99,39,59,4.27
94,Berlevag,NO,2022-02-01 18:23:08,70.8578,29.0864,19.4,62,0,8.05
95,Kodiak,US,2022-02-01 18:23:08,57.79,-152.4072,38.71,93,100,18.41
96,Puerto Ayora,EC,2022-02-01 18:23:09,-0.7393,-90.3518,84.16,85,84,5.99
97,Sembe,CG,2022-02-01 18:23:09,1.6481,14.5806,82.11,37,82,1.48
98,Cockburn Town,TC,2022-02-01 18:23:10,21.4612,-71.1419,75.13,75,63,19.6
99,Bethel,US,2022-02-01 18:23:10,41.3712,-73.414,36.43,60,0,3.0
100,Sitka,US,2022-02-01 18:23:10,57.0531,-135.33,31.89,80,75,0.0
101,Itarema,BR,2022-02-01 18:21:21,-2.9248,-39.9167,85.48,63,98,16.2
102,Qaanaaq,GL,2022-02-01 18:23:11,77.484,-69.3632,-16.62,82,100,9.62
103,Sisimiut,GL,2022-02-01 18:23:11,66.9395,-53.6735,8.28,90,100,6.71
104,Inongo,CD,2022-02-01 18:23:12,-1.95,18.2667,80.94,58,56,0.89
105,Derzhavinsk,KZ,2022-02-01 18:23:12,51.1,66.3167,10.29,89,97,5.55
106,Marquette,US,2022-02-01 18:23:12,46.5333,-87.6335,38.68,66,100,14.81
107,Portel,BR,2022-02-01 18:23:13,-1.9356,-50.8211,87.44,57,83,5.32
108,Sakakah,SA,2022-02-01 18:23:13,29.9697,40.2064,51.37,44,0,7.16
109,Baracoa,CU,2022-02-01 18:23:14,20.3467,-74.4958,74.62,78,99,12.35
110,Alta Floresta,BR,2022-02-01 18:23:14,-9.8756,-56.0861,84.02,70,75,3.44
111,Pithora,IN,2022-02-01 18:23:14,21.2667,82.5167,64.26,31,2,2.82
112,Hilo,US,2022-02-01 18:23:15,19.7297,-155.09,70.61,95,100,8.05
113,San Ciro De Acosta,MX,2022-02-01 18:23:15,21.6333,-99.8167,79.39,20,0,3.49
114,Merrill,US,2022-02-01 18:23:15,45.1805,-89.6835,33.75,64,75,25.32
115,Kita,ML,2022-02-01 18:23:16,13.0349,-9.4895,90.97,9,99,9.28
116,Hornepayne,CA,2022-02-01 18:23:16,49.2138,-84.7705,31.37,85,88,18.03
117,Avera,US,2022-02-01 18:23:16,33.194,-82.5271,62.11,50,0,9.46
118,Honiara,SB,2022-02-01 18:23:17,-9.4333,159.95,78.1,87,94,3.58
119,Leh,IN,2022-02-01 18:23:17,34.1667,77.5833,-4.34,79,26,3.29
120,Kelso,US,2022-02-01 18:23:17,46.1468,-122.9084,41.25,98,100,0.0
121,Beringovskiy,RU,2022-02-01 18:23:18,63.05,179.3167,-2.24,89,91,13.35
122,Muroto,JP,2022-02-01 18:23:18,33.2833,134.15,43.09,52,8,15.52
123,New Norfolk,AU,2022-02-01 18:23:19,-42.7826,147.0587,51.3,53,50,1.01
124,Dikson,RU,2022-02-01 18:23:19,73.5069,80.5464,2.82,93,100,19.15
125,Mount Isa,AU,2022-02-01 18:23:19,-20.7333,139.5,78.57,83,40,4.61
126,Acapulco,MX,2022-02-01 18:23:20,16.8634,-99.8901,82.22,65,20,6.91
127,Turukhansk,RU,2022-02-01 18:21:17,65.8167,87.9833,8.28,94,100,9.66
128,Laguna,US,2022-02-01 18:23:20,38.421,-121.4238,57.34,38,0,7.0
129,Nanortalik,GL,2022-02-01 18:23:20,60.1432,-45.2371,12.76,78,19,12.37
130,Manyana,BW,2022-02-01 18:23:21,-23.4,21.7167,75.72,62,72,11.21
131,Tuktoyaktuk,CA,2022-02-01 18:22:18,69.4541,-133.0374,-20.2,76,75,5.75
132,Touros,BR,2022-02-01 18:23:21,-5.1989,-35.4608,88.7,63,21,14.14
133,Georgetown,MY,2022-02-01 18:23:21,5.4112,100.3354,83.89,84,20,4.61
134,Sobolevo,RU,2022-02-01 18:23:22,54.4299,31.8996,17.4,94,99,9.1
135,Ucluelet,CA,2022-02-01 18:23:22,48.9329,-125.5528,35.91,91,29,3.74
136,Aksu,CN,2022-02-01 18:23:23,41.1231,80.2644,24.06,50,2,0.94
137,Guerrero Negro,MX,2022-02-01 18:24:23,27.9769,-114.0611,62.94,62,97,12.33
138,Harper,LR,2022-02-01 18:24:23,4.375,-7.7169,81.9,73,63,9.48
139,Shimoda,JP,2022-02-01 18:24:24,34.6667,138.95,38.1,62,4,29.97
140,Storsteinnes,NO,2022-02-01 18:24:24,69.2408,19.2344,21.2,74,85,7.11
141,Cabo San Lucas,MX,2022-02-01 18:19:47,22.8909,-109.9124,78.51,51,0,1.01
142,Mahebourg,MU,2022-02-01 18:24:25,-20.4081,57.7,80.89,89,75,20.71
143,Norman Wells,CA,2022-02-01 18:24:25,65.282,-126.8329,-18.36,76,75,0.0
144,Anadyr,RU,2022-02-01 18:24:25,64.75,177.4833,18.1,53,0,8.95
145,Conceicao Do Araguaia,BR,2022-02-01 18:24:26,-8.2578,-49.2647,85.42,66,39,3.44
